Country Name,Country Code,FLF,WRB,ARF,GDE,BSS,UET,GEE,GDP,GFC,IVA,GEI,CDA
Afghanistan,AFG,19.8164430694334,1,68.7942,3.5119800567627,39.43107653,11.1579999923706,13.0909996032715,2.26031420130452,..,1.08793952498168,95370,100
Albania,ALB,42.0254431479969,1,20.6796,3.96209001541138,97.19886042,15.4200000762939,13.596960067749,3.31498068405152,11.2693152160404,4.54104023504239,9720,99.9999999999642
Algeria,DZA,19.7066064699039,1,10.4216,7.34435987472534,78.57596928,10.1999998092651,16.1110401153564,3.19999999999973,20.8898615357956,3.90999961024028,850170,89.1546627249363
American Samoa,ASM,..,..,..,..,..,..,..,-1.67938931297709,47.6900149031297,..,590,17.4195577199093
Andorra,AND,..,..,..,3.23707008361816,100,..,9.99098014831543,3.70967806978986,..,11.6381106729943,91240,100
Angola,AGO,50.0976844452723,1,154.4722,2.75494003295898,22.30913629,7.41200017929077,6.55097007751465,-2.58004964404932,13.8806820723169,6.40065146579805,1130,100
Antigua and Barbuda,ATG,..,1,44.663,2.43079996109009,..,..,6.76265001296997,5.49645920357835,15.7415037718045,3.19845137516623,664170,100
Argentina,ARG,41.9800646066168,1,63.0272,5.54548978805542,76.77439425999999,8.11100006103516,13.3555402755737,-2.08032784377811,17.6545781863509,6.91960951723631,209790,100
Armenia,ARM,46.0488015732752,1,23.975,2.75812005996704,82.47674526,17.6200008392334,10.1971998214722,0.199999999825991,13.4541585167703,-5.60113973937672,366370,94.1394599235076
Aruba,ABW,..,..,22.844,5.4913501739502,..,..,21.3665504455566,2.09999958566985,23.487580297176,11.0999999894652,9510,100
Australia,AUS,46.161210624569,1,13.2818,5.276780128479,..,5.71000003814697,13.804349899292,2.74164306864724,19.0888943045488,..,..,..
Austria,AUT,46.7016145970273,1,7.208,5.4796199798584,100,6.01000022888184,10.9538497924805,1.98943716230463,19.6511011570073,-2.12734537873523,573390,24.9042085244703
Azerbaijan,AZE,48.7851478677457,1,52.612,2.90340995788574,95.72857394,5,8.206899642944339,-3.09999999999992,12.8320634437288,4.35650605148119,75660,85.0159346896433
"Bahamas, The",BHS,48.1520519068087,1,27.9514,2.32517004013062,..,12.6999998092651,11.886079788208,0.0911469243731915,11.5271083835032,-1.2000000000001,81890,100
Bahrain,BHR,21.3869072725828,1,13.493,..,..,1.19099998474121,..,3.55812811897778,17.1111395297991,27.4806201550388,2570,99.99999999173021
Bangladesh,BGD,28.7483919951209,1,84.40779999999999,1.53553998470306,46.82113066,4.34999990463257,11.4192800521851,7.11347821327269,5.89248815212782,5.21120943952802,47160,100
Barbados,BRB,49.4185858820643,1,39.1876,4.70732021331787,..,8.25,13.3624496459961,2.47869868319133,13.4281221532091,11.6908152010428,183500,100
Belarus,BLR,49.6898108209549,1,17.9796,4.94654989242554,96.58389065,5.84000015258789,12.1587800979614,-2.52644643552364,15.6531401067942,-1.25934951721679,3820,100
Belgium,BEL,45.9318161067521,1,5.1082,6.46173000335693,99.48697026000001,7.82999992370605,12.1649503707886,1.26668640902095,23.2620366238976,-0.0509597418039789,83590,100
Belize,BLZ,38.7841437619248,1,64.7226,7.29365015029907,83.34829262,7,20.5020198822021,-0.0332336324360227,16.8511519119788,-1.6442536200237,110360,91.7891148256158
Benin,BEN,49.1084144072374,1,88.1498,2.89910006523132,6.694949508,1.82799994945526,18.7914009094238,3.33967342629693,10.2808187596981,-7.53825238235709,1510,100
Bermuda,BMU,..,..,..,..,..,..,..,-0.657206304259205,12.1305912496553,6.43171428021721,16100,100
Bhutan,BTN,41.089712403608,1,22.0802,6.99333000183105,68.57463525999999,2.49300003051758,24.6431999206543,8.1270335383894,17.2750438209532,2.39167572604441,..,100
Bolivia,BOL,42.1584667822778,1,69.0318,..,36.77860295,3.5,..,4.26392083751466,17.4582520236281,2.42309729495487,2310,100
Bosnia and Herzegovina,BIH,39.0856414124019,1,10.4266,..,92.13910086999999,25.4099998474121,..,3.14980691561182,20.963092294869,6.18483149435613,55780,99.9974859925192
Botswana,BWA,48.7624245567002,1,31.7182,7.97482013702393,49.68465408,21.0289993286133,16.503589630127,7.03689695063241,28.4755580586577,5.38683200686536,27200,99.95544691789151
Brazil,BRA,42.8662844858292,1,62.6774,6.314040184021,57.60026193,11.6000003814697,15.9288301467896,-3.2759169063211,20.3792974302828,4.95602497153402,13580,100
British Virgin Islands,VGB,..,..,..,3.79742002487183,..,..,14.3893804550171,..,..,-4.76702287365679,1051690,67.9525591753989
Brunei Darussalam,BRN,42.366896052155,1,10.9406,4.42540979385376,..,8.38300037384033,11.4419498443604,-2.47791771833224,26.2227178054356,-0.713531999671616,16180,0
Bulgaria,BGR,46.3201723322444,1,40.2932,..,83.71483348,7.57000017166138,..,3.03982527630795,15.5827701945679,..,54270,99.8934934401901
Burkina Faso,BFA,44.6908522999887,1,106.5448,..,11.59392649,4.43400001525879,..,5.95797670754024,16.5070965979117,2.63682301943051,29650,100
Burundi,BDI,52.0020998998017,1,27.4016,4.69199991226196,46.40941353,1.5900000333786,20.784610748291,-0.600020000546493,23.4731999258337,1.20846568597779,4750,100
Cabo Verde,CPV,43.232523770521,1,74.73739999999999,5.28879022598267,61.46257509,12.0080003738403,17.8430099487305,4.70579150927118,17.2905807124454,-7.4438183101062,770,100
Cambodia,KHM,48.4922065761847,1,49.9048,..,47.89155948,0.720000028610229,..,6.93331397294972,5.20998045739191,7.0466144488139,35390,100
